Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Цвет;Characteristics:Размер;Characteristics:Состав;Weight;Length;Width;Height
7,31174E+11;;RE-SC-BO-02;;;Резинка для волос / Big- Big;;;https://static.tildacdn.com/stor3032-3862-4231-a535-626531663063/81150907.jpg;500.00;;;Размеры:Big;;3d8iGi5BSO7VaoYv4AZM;7,2786E+11;;;;0;0;0;0
9,88703E+11;;;;Аксессуары;Резинка для волос;;;https://static.tildacdn.com/stor3364-3535-4637-b837-653130613432/53823529.jpg;;;;;;KJ3Nb1yo0xkGSKir6Zex;;белый;;;0;0;0;0
7,06702E+11;;RE-SC-W-01;;;Резинка для волос / Small- Small;;;https://static.tildacdn.com/stor6261-6139-4838-a437-303161343466/49516778.jpg;400.00;;;Размеры:Small;;n4Hnxr3p34mcLUvj4ysb;9,88703E+11;;;;0;0;0;0
1,73473E+11;;RE-SC-W-02;;;Резинка для волос / Big- Big;;;https://static.tildacdn.com/stor3364-3535-4637-b837-653130613432/53823529.jpg;500.00;;;Размеры:Big;;lRls8FtLGeue4BF3IlSH;9,88703E+11;;;;0;0;0;0
6,70295E+11;;;;Аксессуары;Резинка для волос;;;https://static.tildacdn.com/stor6261-3036-4265-b933-656261343166/14803194.jpg;;;;;;LCbKNmdH1uHUIB4V7d12;;черный;;;0;0;0;0
8,28649E+11;;RE-SC-BL-01;;;Резинка для волос / Small- Small;;;https://static.tildacdn.com/stor3931-3930-4339-b335-393135363061/55392919.jpg;400.00;;;Размеры:Small;;PyT4oAj8ZM4fBHGVBXPp;6,70295E+11;;;;0;0;0;0
4,39165E+11;;RE-SC-BL-02;;;Резинка для волос / Big- Big;;;https://static.tildacdn.com/stor6261-3036-4265-b933-656261343166/14803194.jpg;500.00;;;Размеры:Big;;JKrlpU08BVkjcixVmJgS;6,70295E+11;;;;0;0;0;0
2,6269E+11;;RE-HB-BL-01;;Аксессуары;Повязка на голову;;;https://static.tildacdn.com/stor3665-3966-4736-b737-383661373661/36316942.jpg;1450.00;;;;;yuLnlT9IzBi6vp2uKIul;;черный;onesize;;0;0;0;0
1,81938E+11;;RE-HB-LI-01;;Аксессуары;Повязка на голову;;;https://static.tildacdn.com/stor6365-6265-4635-b439-643331613437/14545553.jpg;1450.00;;;;;mV4UDiB1O0955OUSmYVT;;сиреневый;onesize;;0;0;0;0
8,56514E+11;;RE-HB-BOR-01;;Аксессуары;Повязка на голову;;;https://static.tildacdn.com/stor6461-3366-4865-a631-333635666634/34754325.jpg;1450.00;;;;;GchupXkMh6iLERteeySA;;бордовый;onesize;;0;0;0;0
2,60041E+11;;RE-HB-BRW-01;;Аксессуары;Повязка на голову;;;https://static.tildacdn.com/stor6561-3633-4439-b339-643032303536/67009436.jpg;1450.00;;;;;YFcCOuH3IkeSCYZ7XnP9;;шоколадный;onesize;;0;0;0;0
6,47772E+11;;RE-HB-WH-01;;Аксессуары;Повязка на голову;;;https://static.tildacdn.com/stor3133-3936-4538-a634-313330353636/73497668.jpg;1450.00;;;;;ofoUIaDRF2HeCNZnucCh;;белый;onesize;;0;0;0;0
8,30658E+11;;RE-HB-BO-01;;Аксессуары;Повязка на голову;;;https://static.tildacdn.com/stor6334-3964-4463-b130-663434633836/37206136.jpg;1450.00;;;;;xXPoYvx8bFlLl7aEONBy;;бежевый;onesize;;0;0;0;0
